id_localidad,localidad,padre,id_municipio,localidad_activo
445,El Guajolote,,3,1
446,El Guamúchil,,3,1
447,El Guasimal,,3,1
448,El Guayabo,,3,1
449,El Infiernito,,3,1
450,El Limón,,3,1
451,El Maquipito,,3,1
452,El Maquipo,,3,1
453,El Mezquital,,3,1
454,El Mirasol,,3,1
455,El Mocúzarit (Conicárit),,3,1
456,El Molino,,3,1
457,El Nacapul,,3,1
458,El Naranjo,,3,1
459,El Ojo de Agua,,3,1
460,El Palomar (Cañada),,3,1
461,El Palomo,,3,1
462,El Papalote,,3,1
463,El Paredón Blanco,,3,1
464,El Paso,,3,1
465,El Peñasco Blanco,,3,1
466,El Porvenir,,3,1
467,El Potrero,,3,1
468,El Potrillo,,3,1
469,El Puente,,3,1
470,El Puerto,,3,1
471,El Ranchito,,3,1
472,El Recodo,,3,1
473,El Remudadero,,3,1
474,El Reparo,,3,1
475,El Retiro,,3,1
476,El Reventón,,3,1
477,El Rincón,,3,1
478,El Rincón Viejo,,3,1
479,El Rodeo,,3,1
480,El Sabinal (Arroyo Grande),,3,1
481,El Sabino,,3,1
482,El Sabino Grande (El Sabino),,3,1
483,El Salado,,3,1
484,El Salitral,,3,1
485,El Sauce,,3,1
486,El Sauz,,3,1
487,El Sombrerito,,3,1
488,El Tabelito,,3,1
489,El Tabelo (San José del Tabelo),,3,1
490,El Tacuache,,3,1
491,El Taray,,3,1
492,El Tepehuaje,,3,1
493,El Tepustete,,3,1
494,El Terrero,,3,1
495,El Tezal,,3,1
496,El Trigo,,3,1
497,El Tuburi,,3,1
498,El Vado,,3,1
499,El Veranito,,3,1
500,El Zapote,,3,1
501,Francisco R. Serrano,,3,1
502,Francisco Solís,,3,1
503,Fundición,,3,1
504,General Francisco Villa,,3,1
505,General Francisco Villa División del Norte,,3,1
506,Genex (Las Gemelas),,3,1
507,Gerocoa Chico (Gerocoa),,3,1
508,Gerocoa Chico (Las Flores),,3,1
509,Gochico Nuevo,,3,1
510,Gochico Viejo,,3,1
511,Gocojaqui,,3,1
